Family,Taxon,Former distribution,Extinction date ,min.–max. where available)1,Extinction date (min.–max. where available)1,Justification notes2,Species / subspecies status3,,,,,,,,,,,
Procellariidae,Large St Helena Petrel Pterodroma rupinarum,St Helena,1502,,1502,The species presumably became extinct soon after the discovery of the island in 1502 (BirdLife International 2011).,EX,,,,,,,,,,,
Procellariidae,Small St Helena Petrel Bulweria bifax,St Helena,1502,,1502,The species presumably became extinct soon after the discovery of the island in 1502 (BirdLife International 2011).,EX,,,,,,,,,,,
Rallidae,St Helena Crake Atlantisia podarces,St Helena,1502,,1502,The species presumably became extinct soon after the discovery of the island in 1502 (BirdLife International 2011).,EX,,,,,,,,,,,
Rallidae,St Helena Rail Porzana astrictocarpus,St Helena,1502,,1502,The species presumably became extinct soon after the discovery of the island in 1502 (BirdLife International 2011).,EX,,,,,,,,,,,
Columbidae,St Helena Dove Dysmoropelia dekarchiskos,St Helena,1502,,1502,The species presumably became extinct soon after the discovery of the island in 1502 (BirdLife International 2011).,EX,,,,,,,,,,,
Upupidae,St Helena Hoopoe Upupa antaios,St Helena,1502,,1502,The species was presumably hunted to extinction by people and introduced predators soon after the discovery of the island in 1502 (BirdLife International 2011).,EX,,,,,,,,,,,
Strigidae,Reunion Owl Mascarenotus grucheti,Réunion,1610,,1610,The species presumably became extinct soon after the island's colonisation in the early 17th century (BirdLife International 2011).,EX,,,,,,,,,,,
Rallidae,Ascension Crake Mundia elpenor,"Ascension I, St Helena",1656,,1656,The only record comes from 1656. It probably went extinct due to predation by introduced rats (Rattus spp.) (Ashmole 1963).,EX,,,,,,,,,,,
Raphidae,Dodo Raphus cucullatus,Mauritius,1662,,1662,"The species probably went extinct on mainland Mauritius in the early 1930s (Mlíkovský 2004), but the last record is of birds killed on Ile d’Ambre in 1662. These were probably the last individuals of the species (Cheke 2006).",EX,,,,,,,,,,,
Falconidae,Reunion Kestrel Falco duboisi,Réunion,1672,1671–1672),1672 (1671–1672),"The only historical record of small falcons is of the ""emerillons"" reported by Dubois in 1671–1672 (BirdLife International 2011).",EX,,,,,,,,,,,
Columbidae,Reunion Pigeon Columba duboisi,Réunion,1674,,1674,The species was described in 1674 and is likely to have gone extinct in the early 1700s (BirdLife International 2011).,EX,,,,,,,,,,,
