Scientific name,Extinction date 
Upupa antaios,1502
Dysmoropelia dekarchiskos,1502
Bulweria bifax,1502
Pterodroma rupinarum,1502
Zapornia astrictocarpus,1502
Atlantisia podarces,1502
Pipilo naufragus,1610
Colaptes oceanicus,1623
Bermuteo avivorus,1620
Mascarenotus grucheti,1610
Aegolius gradyi,1650
Nyctanassa carcinocatactes,1650
Foudia delloni,1674
Dryolimnas augusti,1674
Falco duboisi,1672
Mundia elpenor,1656
Alopochen kervazoi,1691
Columba thiriouxi,1730
Nesoenas cicur,1730
Nesoenas duboisi,1674
Threskiornis solitarius,1761
Nannococcyx psix,1750
Nycticorax duboisi,1687
Eclectus infectus,1793
Lophopsittacus bensoni,1764
Tribonyx hodgenorum,1750
Anas marecula,1793
Alopochen mauritiana,1696
Anas theodori,1696
Nycticorax mauritianus,1697
Lophopsittacus mauritianus,1680
Fulica newtonii,1693
Alectroenas payandeei,1700
Dromaius baudinianus,1819
Aphanapteryx bonasia,1693
Nesoenas rodericanus,1726
Mascarenotus murivorus,1726
Ara guadeloupensis,1760
Acrocephalus astrolabii,1839
Necropsar rodericanus,1744
Erythromachus leguati,1744
Psittacara labati,1775
Porphyrio kukwiedei,1860
Nycticorax megacephalus,1744
Porphyrio caerulescens,1730
Chenonetta finschi,1760
Amazona martinicana,1790
Ara atwoodi,1800
Necropsittacus rodricanus,1761
Ara gossei,1800
Dromaius minor,1804
Raphus cucullatus,1662
Porphyrio paepae,1902
Coenocorypha barrierensis,1870
Myadestes woahensis,1825
Alopecoenas ferrugineus,1774
Mascarenotus sauzieri,1848
Ara erythrocephala,1810
Glaucidium mooreorum,1980
Cyanoramphus subflavescens,1870
Pezophaps solitaria,1770
Cyanoramphus ulietanus,1773
Aplonis ulietensis,1774
Prosobonia ellisi,1777
Prosobonia leucoptera,1777
Amazona violacea,1779
Cichlocolaptes mazarbarnetti,2007
Zapornia monasa,1853
Pomarea pomarea,1823
Eurostopodus exul,1939
Akialoa lanaiensis,1892
Dysmorodrepanis munroi,1918
Chlorostilbon bracei,1877
Chlorostilbon elegans,1860
Microgoura meeki,1904
Zapornia nigra,1784
Carpodacus ferreorostris,1828
Rhodacanthis flaviceps,1892
Pycnonotus pseudosimplex,2019
Traversia lyalli,1895
Phylloscopus rotiensis,2019
Myrmoderus eowilsoni,2019
Pelecanoides whenuahouensis,2019
Machaeropterus eckelberryi,2019
Scytalopus alvarezlopezi,2019
Megascops gilesi,2019
Diaphorapteryx hawkinsi,1895
Sporophila iberaensis,2019
Zoothera salimalii,2019
Locustella chengi,2019
Moho apicalis,1864
Scytalopus perijanus,2019
Psittacula exsul,1876
Strix hadorami,2019
Scytalopus gonzagai,2019
Orthotomus chaktomuk,2019
Cyanocorax hafferi,2019
Chloridops kona,1894
Lepidocolaptes fatimalimae,2019
Thripophaga amacurensis,2019
Robsonius thompsoni,2019
Scytalopus gettyae,2019
Formicivora paludicola,2019
Herpsilochmus praedictus,2019
Herpsilochmus stotzi,2019
Hypocnemis rondoni,2019
Sporophila beltoni,2019
Hemitriccus cohnhafti,2019
Zimmerius chicomendesi,2019
Oceanites pincoyae,2019
Otus jolandae,2019
Tyto almae,2019
Coua delalandei,1834
Thryophilus sernai,2019
Capito fitzpatricki,2019
Ninox leventisi,2019
Ninox rumseyi,2019
Mentocrex beankaensis,2019
Akialoa ellisiana,1868
Turdus sanchezorum,2019
Puffinus bryani,2019
Buteo socotraensis,2019
Rhodacanthis palmeri,1901
Viridonia sagittirostris,1901
Grallaria fenwickorum,2019
Scytalopus petrophilus,2019
Synallaxis beverlyae,2019
Phylloscopus calciatilis,2019
Nok hualon,2019
Chaetoptila angustipluma,1859
Stiphrornis pyrrholaemus,2019
Stachyris nonggangensis,2019
Phyllomyias weedeni,2019
Zosterops gibbsi,2019
Zosterops somadikartai,2019
Hydrobates monteiroi,2019
Pyrrhura parvifrons,2019
Eriocnemis isabellae,2019
Melipotes carolae,2019
Atlapetes blancae,2019
Scytalopus diamantinensis,2019
Formicivora grantsaui,2019
Cnipodectes superrufus,2019
Serpophaga griseicapilla,2019
Hypotaenidia dieffenbachii,1856
Ciridops anna,1892
Liocichla bugunorum,2019
Batis crypta,2019
Horornis haddeni,2019
Aplonis mavornata,1900
Rimator naungmungensis,2019
Scytalopus pachecoi,2019
Scytalopus rodriguezi,2019
Scytalopus stilesi,2019
Caprimulgus meesi,2019
Gallirallus calayanensis,2019
Sheppardia aurantiithorax,2019
Thamnophilus divisorius,2019
Ninox burhani,2019
Otus thilohoffmanni,2019
Henicorhina negreti,2019
Apteryx rowi,2019
Micrastur mintoni,2019
Nesillas aldabrana,1985
Atlapetes melanopsis,2019
Pyrilia aurantiocephala,2019
Pyrrhura peruviana,2019
Pyrrhura snethlageae,2019
Ninox sumbaensis,2019
Scolopax bukidnonensis,2019
Lipaugus weberi,2019
Garrulax konkakinhensis,2019
Motacilla samveasnae,2019
Percnostola arenarum,2019
Poecilotriccus luluae,2019
Zimmerius villarejoi,2019
Aegotheles tatei,2019
Turnix novaecaledoniae,1912
Pampusana norfolkensis,1820
Centrocercus minimus,2019
Locustella alishanensis,2019
Herpsilochmus sellowi,2019
Myiopagis olallai,2019
Capito wallacei,2019
Mascarinus mascarin,1790
Grallaria ridgelyi,2019
Actinodura sodangorum,2019
Trochalopteron ngoclinhense,2019
Phylloscopus omeiensis,2019
Phylloscopus soror,2019
Podiceps andinus,1979
Glaucidium costaricanum,2019
Glaucidium nubicola,2019
Ninox ios,2019
Nisaetus pinskeri,2019
Amaurornis magnirostris,2019
Gymnocrex talaudensis,2019
Lagonosticta sanguinodorsalis,2019
Antilophia bokermanni,2019
Scytalopus iraiensis,2019
Aplonis corvina,1854
Herpsilochmus gentryi,2019
Otus alius,2019
Otus collari,2019
Otus moheliensis,2019
Coeligena albicaudata,2019
