species,description_year,extinction_year
Acanthagenys.rufogularis,1838,NA
Acanthiza.apicalis,1847,NA
Acanthiza.chrysorrhoa,1830,NA
Acanthiza.ewingii,1844,NA
Acanthiza.inornata,1841,NA
Acanthiza.iredalei,1911,NA
Acanthiza.katherina,1905,NA
Acanthiza.lineata,1838,NA
Acanthiza.nana,1827,NA
Acanthiza.pusilla,1790,NA
Acanthiza.reguloides,1827,NA
Acanthiza.robustirostris,1903,NA
Acanthiza.uropygialis,1838,NA
Acanthorhynchus.superciliosus,1837,NA
Acanthorhynchus.tenuirostris,1801,NA
Acanthornis.magna,1855,NA
Accipiter.cirrocephalus,1817,NA
Accipiter.fasciatus,1827,NA
Accipiter.novaehollandiae,1788,NA
Acridotheres.tristis,1766,NA
Acrocephalus.australis,1838,NA
Actitis.hypoleucos,1758,NA
Aegotheles.cristatus,1790,NA
Ailuroedus.crassirostris,1815,NA
Ailuroedus.melanotis,1858,NA
Alauda.arvensis,1758,NA
Alcedo.azurea,1801,NA
Alcedo.pusilla,1836,NA
Alectura.lathami,1831,NA
Alisterus.scapularis,1818,NA
Amaurornis.moluccana,1865,NA
Amytornis.ballarae,1969,NA
Amytornis.barbatus,1968,NA
Amytornis.dorotheae,1914,NA
Amytornis.dorotheae,1914,NA
Amytornis.goyderi,1875,NA
Amytornis.housei,1902,NA
Amytornis.merrotsyi,1913,NA
Amytornis.purnelli,1914,NA
Amytornis.striatus,1840,NA
Amytornis.textilis,1824,NA
Amytornis.woodwardi,1905,NA
Anas.castanea,1838,NA
Anas.gracilis,1869,NA
Anas.platyrhynchos,1758,NA
Anas.querquedula,1758,NA
Anas.rhynchotis,1801,NA
Anas.superciliosa,1789,NA
Anhinga.novaehollandiae,1847,NA
Anhinga.novaehollandiae,1847,NA
Anser.anser,1758,NA
Anseranas.semipalmata,1798,NA
Anseranas.semipalmata,1798,NA
Anthochaera.carunculata,1790,NA
Anthochaera.chrysoptera,1801,NA
Anthochaera.lunulata,1838,NA
Anthochaera.paradoxa,1800,NA
Anthus.novaeseelandiae,1789,NA
Aphelocephala.leucopsis,1841,NA
Aphelocephala.nigricincta,1895,NA
Aphelocephala.pectoralis,1871,NA
Aplonis.metallica,1824,NA
Aprosmictus.erythropterus,1788,NA
Aptenodytes.patagonicus,1778,NA
Apus.affinis,1830,NA
Apus.pacificus,1802,NA
Aquila.audax,1801,NA
Ardea.pacifica,1801,NA
Ardea.pacifica,1801,NA
Ardea.picata,1845,NA
Ardea.sumatrana,1822,NA
