species,description_year,extinction_year
Notomys.macrotis,1921,1844
Pteropus.brunneus,1878,1874
Potorous.platyops,1844,1875
Lagorchestes.leporides,1841,1890
Notomys.amplus,1936,1896
Pseudomys.glaucus,1910,1956
Leporillus.apicalis,1853,1970
Bettongia.pusilla,1997,1501
Notomys.mordax,1922,1845
Conilurus.albipes,1829,1875
Notomys.longicaudatus,1844,1901
Pseudomys.gouldii,1839,1857
Caloprymnus.campestris,1843,1932
Thylacinus.cynocephalus,1808,1933
Chaeropus.ecaudatus,1838,1955
Onychogalea.lunata,1841,1950
Macrotis.leucura,1887,1931
Lagorchestes.asomatus,1943,1932
Perameles.eremiana,1897,1943
Macropus.greyi,1845,1937
Acrobates.pygmaeus,1794,NA
Aepyprymnus.rufescens,1837,NA
Antechinomys.laniger,1856,NA
Antechinus.adustus,1923,NA
Antechinus.agilis,1998,NA
Antechinus.bellus,1904,NA
Antechinus.flavipes,1838,NA
Antechinus.godmani,1923,NA
Antechinus.leo,1980,NA
Antechinus.minimus,1803,NA
Antechinus.stuartii,1841,NA
Antechinus.subtropicus,2000,NA
Antechinus.swainsonii,1840,NA
Bettongia.gaimardi,1822,NA
Bettongia.lesueur,1824,NA
Bettongia.penicillata,1837,NA
Bettongia.tropica,1967,NA
Bos.javanicus,1823,NA
Burramys.parvus,1896,NA
Cercartetus.caudatus,1877,NA
Cercartetus.concinnus,1845,NA
Cercartetus.lepidus,1888,NA
Cercartetus.nanus,1818,NA
Chalinolobus.dwyeri,1966,NA
Chalinolobus.gouldii,1841,NA
Chalinolobus.morio,1841,NA
Chalinolobus.nigrogriseus,1856,NA
Chalinolobus.picatus,1852,NA
Conilurus.penicillatus,1842,NA
Dactylopsila.trivirgata,1858,NA
Dasycercus.blythi,1904,NA
Dasycercus.cristicauda,1867,NA
Dasykaluta.rosamondae,1964,NA
Dasyuroides.byrnei,1896,NA
Dasyurus.geoffroii,1841,NA
Dasyurus.hallucatus,1842,NA
Dasyurus.maculatus,1792,NA
Dasyurus.viverrinus,1800,NA
Dendrolagus.bennettianus,1887,NA
Dendrolagus.lumholtzi,1884,NA
Dobsonia.moluccensis,1830,NA
Echymipera.rufescens,1875,NA
Falsistrellus.mackenziei,1986,NA
Falsistrellus.tasmaniensis,1858,NA
Gymnobelideus.leadbeateri,1867,NA
Hemibelideus.lemuroides,1884,NA
Hipposideros.ater,1848,NA
Hipposideros.cervinus,1863,NA
Hipposideros.diadema,1813,NA
Hipposideros.inornatus,1970,NA
Hipposideros.semoni,1903,NA
Hipposideros.stenotis,1913,NA
Hydromys.chrysogaster,1804,NA
Hypsiprymnodon.moschatus,1876,NA
Isoodon.auratus,1887,NA
Isoodon.macrourus,1842,NA
Isoodon.obesulus,1797,NA
Lagorchestes.conspicillatus,1842,NA
Lagorchestes.hirsutus,1844,NA
Lagostrophus.fasciatus,1807,NA
Lasiorhinus.krefftii,1873,NA
Lasiorhinus.latifrons,1845,NA
Leggadina.forresti,1906,NA
Leggadina.lakedownensis,1976,NA
Macroderma.gigas,1880,NA
Macroglossus.minimus,1810,NA
Macropus.agilis,1842,NA
Macropus.antilopinus,1842,NA
Macropus.bernardus,1904,NA
Macropus.dorsalis,1837,NA
Macropus.eugenii,1817,NA
Macropus.fuliginosus,1817,NA
Macropus.giganteus,1790,NA
Macropus.irma,1837,NA
Macropus.parma,1845,NA
Macropus.parryi,1835,NA
Macropus.robustus,1841,NA
Macropus.rufogriseus,1817,NA
Macropus.rufus,1822,NA
