species,description_year,extinction_year
Medionidus.mcglameriae,1939,1935
Epioblasma.propinqua,1857,1936
Pleurobema.verum,1861,1938
Epioblasma.lewisii,1910,1950
Pleurobema.fibuloides,1859,1958
Alasmidonta.mccordi,1964,1964
Epioblasma.lenior,1842,1967
Epioblasma.biemarginata,1857,1970
Epioblasma.haysiana,1834,1970
Epioblasma.turgidula,1858,1976
Obovaria.haddletoni,1964,1980
Alasmidonta.robusta,1981,1981
Pleurobema.marshalli,1927,1984
Pleurobema.bournianum,1840,1850
Pleurobema.altum,1854,1950
Pleurobema.avellanum,1900,1950
Pleurobema.taitianum,1834,1950
Epioblasma.cincinnatiensis,1840,1940
Epioblasma.flexuosa,1820,1930
Epioblasma.personata,1829,1930
Alasmidonta.wrightiana,1901,1935
Epioblasma.arcaeformis,1840,1945
Elliptio.nigella,1852,1955
Epioblasma.othcaloogensis,1857,1975
Lampsilis.binominata,1900,1975
Quincuncina.mitchelli,1840,1975
Epioblasma.metastriata,1838,1985
Quadrula.stapes,1831,1985
Pleurobema.curtum,1859,1995
Pleurobema.hanleyianum,1852,1995
Pleurobema.hanleyianum,1852,1995
Pleurobema.troschelianum,1852,1995
Fusconaia.apalachicola,1999,1825
Quadrula.couchiana,1860,1925
Actinonaias.ligamentina,1819,NA
Actinonaias.pectorosa,1834,NA
Alasmidonta.arcula,1838,NA
Alasmidonta.atropurpurea,1831,NA
Alasmidonta.heterodon,1830,NA
Alasmidonta.marginata,1818,NA
Alasmidonta.raveneliana,1834,NA
Alasmidonta.triangulata,1858,NA
Alasmidonta.undulata,1817,NA
Alasmidonta.varicosa,1819,NA
Alasmidonta.viridis,1820,NA
Amblema.elliottii,1856,NA
Amblema.neislerii,1858,NA
Amblema.plicata,1817,NA
Anodonta.beringiana,1851,NA
Anodonta.californiensis,1852,NA
Anodonta.couperiana,1840,NA
Anodonta.dejecta,1875,NA
Anodonta.hartfieldorum,2009,NA
Anodonta.heardi,1995,NA
Anodonta.implicata,1829,NA
Anodonta.kennerlyi,1860,NA
Anodonta.nuttalliana,1838,NA
Anodonta.oregonensis,1838,NA
Anodonta.suborbiculata,1831,NA
Anodontoides.denigrata,1852,NA
Anodontoides.ferussacianus,1834,NA
Anodontoides.radiatus,1834,NA
Arcidens.confragosus,1829,NA
Arkansia.wheeleri,1912,NA
Cumberlandia.monodonta,1829,NA
Cyclonaias.tuberculata,1820,NA
Cyprogenia.aberti,1850,NA
Cyprogenia.stegaria,1820,NA
Cyrtonaias.tampicoensis,1838,NA
Disconaias.conchos,1997,NA
Disconaias.fimbriata,1907,NA
Dromus.dromas,1838,NA
Ellipsaria.lineolata,1820,NA
Elliptio.ahenea,1843,NA
Elliptio.angustata,1831,NA
Elliptio.arca,1834,NA
