species,description_year,extinction_year
Fundulus.albolineatus,1891,1900
Moxostoma.lacerum,1877,1910
Chasmistes.muriei,1981,1928
Cottus.echinatus,1963,1928
Salvelinus.agassizii,1885,1930
Lepidomeda.altivelis,1960,1940
Empetrichthys.merriami,1893,1953
Rhinichthys.deaconi,1984,1955
Gila.crassicauda,1854,1957
Noturus.trautmani,1969,1957
Atherinella.callida,1986,1962
Priapella.bonita,1904,1966
Notropis.saladonis,1958,1967
Pogonichthys.ciscoides,1974,1970
Gambusia.amistadensis,1973,1973
Notropis.orca,1894,1975
Coregonus.alpenae,1924,1978
Skiffia.francesae,1978,1979
Cyprinodon.alvarezi,1972,1983
Gambusia.georgei,1969,1983
Megupsilon.aporus,1972,1983
Cyprinodon.inmemoriam,1993,1984
Coregonus.reighardi,1924,1985
Coregonus.nigripinnis,1874,1986
Cyprinodon.ceciliae,1993,1988
Cyprinodon.longidorsalis,1993,1988
Etheostoma.sellare,1913,1988
Chirostoma.bartoni,1896,1991
Cyprinodon.veronicae,1993,1991
Girardinichthys.turneri,1940,1992
Ameca.splendens,1971,1994
Chirostoma.charari,1945,1984
Characodon.garmani,1898,1880
Cyprinodon.latifasciatus,1881,1903
Stypodon.signifer,1881,1903
Coregonus.johannae,1910,1952
Evarra.eigenmanni,1894,1954
Evarra.bustamantei,1955,1957
Evarra.tlahuacensis,1902,1957
Notropis.aulidion,1986,1961
Notropis.amecae,1986,1969
Ablennes.hians,1846,NA
Acantharchus.pomotis,1855,NA
Acantholumpenus.mackayi,1896,NA
Acanthurus.nigricauda,1929,NA
Acanthurus.thompsoni,1923,NA
Achirus.achirus,1758,NA
Achirus.lineatus,1758,NA
Achirus.scutum,1862,NA
Acipenser.brevirostrum,1818,NA
Acipenser.fulvescens,1817,NA
Acipenser.medirostris,1854,NA
Acipenser.sturio,1758,NA
Acipenser.transmontanus,1836,NA
Acrocheilus.alutaceus,1855,NA
Adinia.xenica,1882,NA
Aetobatus.narinari,1790,NA
Agonostomus.monticola,1834,NA
Agosia.chrysogaster,1856,NA
Albula.vulpes,1758,NA
Algansea.amecae,2009,NA
Algansea.aphanea,1978,NA
Algansea.avia,1978,NA
Algansea.barbata,1964,NA
Algansea.monticola,1968,NA
Algansea.popoche,1899,NA
Algansea.tincella,1844,NA
Allodontichthys.hubbsi,1980,NA
Allodontichthys.polylepis,1988,NA
Allodontichthys.tamazulae,1946,NA
Allodontichthys.zonistius,1932,NA
Alloophorus.robustus,1892,NA
Allotoca.catarinae,1942,NA
Allotoca.dugesii,1887,NA
Allotoca.goslinei,1987,NA
Allotoca.meeki,1959,NA
Allotoca.regalis,1959,NA
Alosa.aestivalis,1814,NA
Alosa.alabamae,1896,NA
Alosa.chrysochloris,1820,NA
Alosa.mediocris,1814,NA
Alosa.pseudoharengus,1811,NA
Alosa.sapidissima,1811,NA
Ambloplites.ariommus,1936,NA
Ambloplites.cavifrons,1868,NA
Ambloplites.constellatus,1977,NA
Ambloplites.rupestris,1817,NA
Amblyopsis.rosae,1898,NA
Amblyopsis.spelaea,1842,NA
Amblyraja.radiata,1808,NA
Ameiurus.brunneus,1877,NA
Ameiurus.catus,1758,NA
Ameiurus.melas,1820,NA
Ameiurus.natalis,1819,NA
Ameiurus.nebulosus,1819,NA
Ameiurus.platycephalus,1859,NA
Ameiurus.serracanthus,1968,NA
Amia.calva,1766,NA
Ammocrypta.beanii,1877,NA
Ammocrypta.bifascia,1975,NA
Ammocrypta.clara,1885,NA
Ammocrypta.meridiana,1975,NA
