species,description_year,extinction_year
Pinguinus.impennis,1758,1852
Camptorhynchus.labradorius,1789,1875
Ectopistes.migratorius,1766,1900
Quiscalus.palustris,1827,1910
Conuropsis.carolinensis,1758,1918
Podiceps.andinus,1959,1977
Mitu.mitu,1766,1984
Podilymbus.gigas,1929,1986
Abeillia.abeillei,1839,NA
Abroscopus.albogularis,1854,NA
Abroscopus.schisticeps,1846,NA
Abroscopus.superciliaris,1859,NA
Aburria.aburri,1828,NA
Acanthidops.bairdi,1882,NA
Accipiter.badius,1788,NA
Accipiter.bicolor,1817,NA
Accipiter.brevipes,1850,NA
Accipiter.castanilius,1853,NA
Accipiter.collaris,1860,NA
Accipiter.cooperii,1828,NA
Accipiter.erythropus,1855,NA
Accipiter.gentilis,1758,NA
Accipiter.gularis,1844,NA
Accipiter.melanoleucus,1830,NA
Accipiter.minullus,1800,NA
Accipiter.nisus,1758,NA
Accipiter.ovampensis,1875,NA
Accipiter.poliogaster,1824,NA
Accipiter.rufiventris,1830,NA
Accipiter.soloensis,1821,NA
Accipiter.striatus,1807,NA
Accipiter.superciliosus,1766,NA
Accipiter.tachiro,1800,NA
Accipiter.trivirgatus,1824,NA
Accipiter.virgatus,1822,NA
Aceros.comatus,1822,NA
Aceros.corrugatus,1832,NA
Aceros.nipalensis,1829,NA
Aceros.subruficollis,1843,NA
Aceros.undulatus,1811,NA
Achaetops.pycnopygius,1852,NA
Acridotheres.albocinctus,1875,NA
Acridotheres.cristatellus,1766,NA
Acridotheres.fuscus,1827,NA
Acridotheres.ginginianus,1790,NA
Acridotheres.grandis,1858,NA
Acridotheres.tristis,1766,NA
Acrobatornis.fonsecai,1996,NA
Acrocephalus.aedon,1776,NA
Acrocephalus.agricola,1845,NA
Acrocephalus.arundinaceus,1847,NA
Acrocephalus.bistrigiceps,1860,NA
Acrocephalus.concinens,1870,NA
Acrocephalus.dumetorum,1849,NA
Acrocephalus.gracilirostris,1864,NA
Acrocephalus.griseldis,1891,NA
Acrocephalus.melanopogon,1823,NA
Acrocephalus.orinus,1905,NA
Acrocephalus.paludicola,1817,NA
Acrocephalus.palustris,1798,NA
Acrocephalus.rufescens,1876,NA
Acrocephalus.schoenobaenus,1758,NA
Acrocephalus.scirpaceus,1804,NA
Acrocephalus.stentoreus,1833,NA
Acrocephalus.tangorum,1912,NA
Acropternis.orthonyx,1843,NA
Acryllium.vulturinum,1834,NA
Actenoides.concretus,1825,NA
Actinodura.egertoni,1836,NA
Actinodura.nipalensis,1836,NA
Actinodura.ramsayi,1875,NA
Actinodura.sodangorum,1999,NA
Actinodura.souliei,1897,NA
Actinodura.waldeni,1874,NA
Actitis.hypoleucos,1758,NA
Actitis.macularius,1766,NA
Actophilornis.africanus,1789,NA
Adelomyia.melanogenys,1840,NA
Aechmophorus.clarkii,1858,NA
Aechmophorus.occidentalis,1858,NA
Aegithalos.caudatus,1758,NA
Aegithalos.concinnus,1855,NA
Aegithalos.fuliginosus,1870,NA
Aegithalos.iouschistos,1844,NA
Aegithalos.leucogenys,1854,NA
Aegithalos.niveogularis,1855,NA
Aegithina.lafresnayei,1844,NA
Aegithina.nigrolutea,1876,NA
