species,description_year,extinction_year
Bos.primigenius,1827,1627
Hippotragus.leucophaeus,1766,1800
Gazella.rufina,1894,1894
Rucervus.schomburgki,1863,1932
Elaphurus.davidianus,1866,1939
Gazella.bilkis,1985,1951
Juscelinomys.candango,1965,1960
Cryptonanus.ignitus,2002,1962
Leporillus.apicalis,1853,1970
Oryx.dammah,1826,1988
Sylvilagus.insonus,1904,1991
Gazella.saudiya,1935,1979
Abeomelomys.sevia,1935,NA
Abrawayaomys.ruschii,1979,NA
Abrocoma.bennettii,1837,NA
Abrocoma.boliviensis,1990,NA
Abrocoma.budini,1920,NA
Abrocoma.cinerea,1919,NA
Abrocoma.famatina,1920,NA
Abrocoma.shistacea,1921,NA
Abrocoma.uspallata,2002,NA
Abrocoma.vaccarum,1921,NA
Abrothrix.andinus,1858,NA
Abrothrix.hershkovitzi,1984,NA
Abrothrix.illuteus,1925,NA
Abrothrix.jelskii,1894,NA
Abrothrix.lanosus,1897,NA
Abrothrix.longipilis,1837,NA
Abrothrix.markhami,1973,NA
Abrothrix.olivaceus,1837,NA
Abrothrix.sanborni,1943,NA
Acerodon.jubatus,1831,NA
Acinonyx.jubatus,1775,NA
Acomys.airensis,1921,NA
Acomys.cahirinus,1803,NA
Acomys.cilicicus,1978,NA
Acomys.cineraceus,1877,NA
Acomys.dimidiatus,1826,NA
Acomys.ignitus,1910,NA
Acomys.johannis,1912,NA
Acomys.kempi,1911,NA
Acomys.louisae,1896,NA
Acomys.mullah,1904,NA
Acomys.nesiotes,1903,NA
Acomys.percivali,1911,NA
Acomys.russatus,1840,NA
Acomys.seurati,1936,NA
Acomys.spinosissimus,1852,NA
Acomys.subspinosus,1838,NA
Acomys.wilsoni,1892,NA
Aconaemys.fuscus,1842,NA
Aconaemys.porteri,1917,NA
Aconaemys.sagei,1984,NA
Acrobates.pygmaeus,1794,NA
Addax.nasomaculatus,1816,NA
Aegialomys.xanthaeolus,1894,NA
Aepeomys.lugens,1896,NA
Aepeomys.reigi,2001,NA
Aepyceros.melampus,1812,NA
Aepyprymnus.rufescens,1837,NA
Aeretes.melanopterus,1867,NA
Aeromys.tephromelas,1873,NA
Aethalops.alecto,1923,NA
Aethomys.bocagei,1904,NA
Aethomys.chrysophilus,1897,NA
Aethomys.granti,1908,NA
Aethomys.hindei,1902,NA
Aethomys.ineptus,1908,NA
Aethomys.kaiseri,1887,NA
Aethomys.namaquensis,1834,NA
Aethomys.nyikae,1897,NA
Aethomys.silindensis,1938,NA
Aethomys.stannarius,1913,NA
Aethomys.thomasi,1897,NA
Ailuropoda.melanoleuca,1869,NA
Ailurus.fulgens,1825,NA
Akodon.aerosus,1913,NA
Akodon.affinis,1912,NA
Akodon.albiventer,1897,NA
Akodon.aliquantulus,1999,NA
Akodon.azarae,1829,NA
Akodon.bogotensis,1895,NA
Akodon.boliviensis,1833,NA
Akodon.budini,1918,NA
Akodon.cursor,1887,NA
Akodon.dayi,1916,NA
Akodon.dolores,1916,NA
Akodon.fumeus,1902,NA
Akodon.iniscatus,1919,NA
Akodon.juninensis,1990,NA
Akodon.kofordi,1989,NA
Akodon.latebricola,1924,NA
Akodon.leucolimnaeus,1926,NA
Akodon.lindberghi,1990,NA
Akodon.lutescens,1901,NA
Akodon.mimus,1901,NA
Akodon.molinae,1968,NA
Akodon.mollis,1894,NA
Akodon.montensis,1913,NA
Akodon.mystax,1998,NA
Akodon.neocenus,1919,NA
Akodon.oenos,2000,NA
Akodon.orophilus,1913,NA
Akodon.paranaensis,2000,NA
Akodon.pervalens,1925,NA
Akodon.philipmyersi,2005,NA
Akodon.reigi,1998,NA
Akodon.sanctipaulensis,1990,NA
Akodon.serrensis,1902,NA
Akodon.siberiae,1989,NA
Akodon.simulator,1916,NA
Akodon.spegazzinii,1897,NA
Akodon.subfuscus,1944,NA
Akodon.surdus,1917,NA
Akodon.sylvanus,1921,NA
Akodon.toba,1921,NA
Akodon.torques,1917,NA
Akodon.varius,1902,NA
Alcelaphus.buselaphus,1766,NA
Alces.alces,1758,NA
Alces.americanus,1822,NA
Allactaga.balikunica,1964,NA
Allactaga.bullata,1925,NA
Allactaga.elater,1825,NA
Allactaga.euphratica,1881,NA
Allactaga.firouzi,1978,NA
Allactaga.hotsoni,1920,NA
Allactaga.major,1792,NA
Allactaga.severtzovi,1925,NA
Allactaga.sibirica,1778,NA
Allactaga.tetradactyla,1823,NA
Allactaga.vinogradovi,1941,NA
Allactaga.williamsi,1897,NA
Allactodipus.bobrinskii,1937,NA
Allenopithecus.nigroviridis,1907,NA
Allocricetulus.curtatus,1925,NA
Allocricetulus.eversmanni,1859,NA
Alopex.lagopus,1758,NA
Alouatta.arctoidea,1940,NA
Alouatta.belzebul,1766,NA
Alouatta.caraya,1812,NA
Alouatta.discolor,1823,NA
Alouatta.guariba,1812,NA
Alouatta.juara,1910,NA
Alouatta.macconnelli,1766,NA
Alouatta.nigerrima,1941,NA
Alouatta.palliata,1849,NA
Alouatta.pigra,1933,NA
Alouatta.puruensis,1941,NA
Alouatta.sara,1910,NA
Alouatta.seniculus,1766,NA
Alouatta.ululata,1912,NA
Alticola.albicaudus,1894,NA
Alticola.argentatus,1879,NA
Alticola.barakshin,1947,NA
Alticola.lemminus,1898,NA
Alticola.macrotis,1862,NA
Alticola.montosa,1894,NA
Alticola.olchonensis,1960,NA
Alticola.roylei,1842,NA
Alticola.semicanus,1924,NA
Alticola.stoliczkanus,1875,NA
Alticola.strelzowi,1899,NA
Alticola.tuvinicus,1950,NA
Amblysomus.corriae,1905,NA
Amblysomus.hottentotus,1829,NA
Amblysomus.marleyi,1931,NA
Amblysomus.robustus,2000,NA
Amblysomus.septentrionalis,1913,NA
Ametrida.centurio,1847,NA
Ammodillus.imbellis,1898,NA
Ammodorcas.clarkei,1891,NA
Ammospermophilus.harrisii,1854,NA
Ammospermophilus.interpres,1890,NA
Ammospermophilus.leucurus,1889,NA
