species,description_year,extinction_year
Hydrodamalis.gigas,1780,1768
Neovison.macrodon,1903,1860
Zalophus.japonicus,1866,1955
Monachus.tropicalis,1850,1952
Alopex.lagopus,1758,NA
Aonyx.capensis,1821,NA
Aonyx.cinerea,1815,NA
Arctocephalus.australis,1783,NA
Arctocephalus.forsteri,1828,NA
Arctocephalus.galapagoensis,1904,NA
Arctocephalus.gazella,1875,NA
Arctocephalus.philippii,1872,NA
Arctocephalus.pusillus,1775,NA
Arctocephalus.townsendi,1897,NA
Arctocephalus.tropicalis,1872,NA
Balaena.mysticetus,1758,NA
Balaenoptera.acutorostrata,1804,NA
Balaenoptera.bonaerensis,1867,NA
Balaenoptera.borealis,1828,NA
Balaenoptera.edeni,1879,NA
Balaenoptera.musculus,1758,NA
Balaenoptera.omurai,2003,NA
Balaenoptera.physalus,1758,NA
Berardius.arnuxii,1851,NA
Berardius.bairdii,1883,NA
Callorhinus.ursinus,1758,NA
Caperea.marginata,1846,NA
Cephalorhynchus.commersonii,1804,NA
Cephalorhynchus.eutropia,1846,NA
Cephalorhynchus.heavisidii,1828,NA
Cephalorhynchus.hectori,1881,NA
Cystophora.cristata,1777,NA
Delphinapterus.leucas,1776,NA
Delphinus.capensis,1828,NA
Delphinus.delphis,1758,NA
Dugong.dugon,1776,NA
Enhydra.lutris,1758,NA
Erignathus.barbatus,1777,NA
Eschrichtius.robustus,1861,NA
Eubalaena.australis,1822,NA
Eubalaena.glacialis,1776,NA
Eubalaena.japonica,1818,NA
Eumetopias.jubatus,1776,NA
Feresa.attenuata,1875,NA
Globicephala.macrorhynchus,1846,NA
Globicephala.melas,1809,NA
Grampus.griseus,1812,NA
Halichoerus.grypus,1791,NA
Hippopotamus.amphibius,1758,NA
Histriophoca.fasciata,1783,NA
Hydromys.chrysogaster,1804,NA
Hydrurga.leptonyx,1820,NA
Hyperoodon.ampullatus,1770,NA
Hyperoodon.planifrons,1882,NA
Indopacetus.pacificus,1926,NA
Kogia.breviceps,1838,NA
Kogia.sima,1866,NA
Lagenodelphis.hosei,1956,NA
Lagenorhynchus.acutus,1828,NA
Lagenorhynchus.albirostris,1846,NA
Lagenorhynchus.australis,1848,NA
Lagenorhynchus.cruciger,1824,NA
Lagenorhynchus.obliquidens,1865,NA
Lagenorhynchus.obscurus,1828,NA
Leptonychotes.weddellii,1826,NA
Lissodelphis.borealis,1848,NA
Lissodelphis.peronii,1804,NA
Lobodon.carcinophaga,1842,NA
Lontra.canadensis,1777,NA
Lontra.felina,1782,NA
Lutra.lutra,1758,NA
Lutra.sumatrana,1865,NA
Lutrogale.perspicillata,1826,NA
Megaptera.novaeangliae,1781,NA
Mesoplodon.bidens,1804,NA
Mesoplodon.bowdoini,1908,NA
Mesoplodon.carlhubbsi,1963,NA
Mesoplodon.densirostris,1817,NA
Mesoplodon.europaeus,1855,NA
Mesoplodon.ginkgodens,1958,NA
Mesoplodon.grayi,1876,NA
Mesoplodon.hectori,1871,NA
Mesoplodon.layardii,1865,NA
Mesoplodon.mirus,1913,NA
Mesoplodon.perrini,2002,NA
Mesoplodon.peruvianus,1991,NA
Mesoplodon.stejnegeri,1885,NA
Mesoplodon.traversii,1874,NA
Mirounga.angustirostris,1866,NA
Mirounga.leonina,1758,NA
Monachus.monachus,1779,NA
Monachus.schauinslandi,1905,NA
Monodon.monoceros,1758,NA
Neophoca.cinerea,1816,NA
Neophocaena.asiaeorientalis,1972,NA
Neophocaena.phocaenoides,1829,NA
Odobenus.rosmarus,1758,NA
Ommatophoca.rossii,1844,NA
Orcaella.brevirostris,1866,NA
Orcaella.heinsohni,2005,NA
Orcinus.orca,1758,NA
Otaria.flavescens,1800,NA
Pagophilus.groenlandicus,1777,NA
Peponocephala.electra,1846,NA
Phoca.largha,1811,NA
Phoca.vitulina,1758,NA
Phocarctos.hookeri,1866,NA
Phocoena.dioptrica,1912,NA
Phocoena.phocoena,1758,NA
Phocoena.sinus,1958,NA
Phocoena.spinipinnis,1865,NA
Phocoenoides.dalli,1885,NA
Physeter.macrocephalus,1758,NA
Pontoporia.blainvillei,1844,NA
Pseudorca.crassidens,1846,NA
Pusa.hispida,1775,NA
Sotalia.guianensis,1864,NA
Sousa.chinensis,1765,NA
Sousa.teuszii,1892,NA
Stenella.attenuata,1846,NA
Stenella.clymene,1846,NA
Stenella.coeruleoalba,1833,NA
Stenella.frontalis,1829,NA
Stenella.longirostris,1828,NA
Steno.bredanensis,1828,NA
Tasmacetus.shepherdi,1937,NA
Trichechus.inunguis,1883,NA
Trichechus.manatus,1758,NA
Trichechus.senegalensis,1795,NA
Tursiops.aduncus,1833,NA
Tursiops.truncatus,1821,NA
Ursus.maritimus,1774,NA
Zalophus.californianus,1828,NA
Zalophus.wollebaeki,1953,NA
Ziphius.cavirostris,1823,NA
