"","year","S","E","d","X_lo","X_hi","X_mean","U_lo","U_hi","U_mean","U_old","X_old","mu_estimate"
"1",1784,1103,0,533,0,0,0,10006,10084,10038.3615,10032.6436637192,0,0.000906618313689937
"2",1790,1635,1,334,0,46,13.175,9467,9526,9492.2306,9490.54788523891,9.09577848025401,0.000611620795107034
"3",1812,1968,2,503,1,59,21.2793,9129,9178,9150.092,9150.74326879534,14.9003949238249,0.000508130081300813
"4",1820,2470,3,746,3,70,27.7843,8623,8664,8640.5802,8643.0935008742,19.5501628449601,0.000404858299595142
"5",1828,3215,4,196,6,75,32.5378,7874,7910,7889.8242,7893.5942727362,23.0493909829656,0.00031104199066874
"6",1830,3410,5,354,8,78,35.7172,7677,7709,7690.6448,7695.13903346007,25.504630259089,0.000293255131964809
"7",1834,3763,6,92,10,82,38.6375,7321,7350,7333.7242,7338.88239444733,27.761269271834,0.000265745415891576
"8",1835,3854,7,1222,12,85,41.0984,7228,7254,7239.2632,7244.93212009324,29.7115436259255,0.000259470679813181
"9",1844,5075,8,868,14,88,43.5009,6005,6028,6014.8607,6021.05227263084,31.5913910883264,0.000197044334975369
"10",1852,5942,9,136,15,90,44.8126,5136,5158,5145.5489,5151.86585838992,32.7778053292386,0.000336587007741501
"11",1854,6076,11,118,16,91,46.5252,4999,5019,5007.8363,5014.13180727636,34.5118564427994,0.000164581961816985
"12",1855,6193,12,80,17,92,47.3538,4881,4900,4889.0077,4895.30657162671,35.3370920924499,0.000161472630389149
"13",1856,6272,13,302,17,93.0249999999996,48.1186,4801,4818,4808.2429,4814.51611359803,36.1275501211312,0.000159438775510204
"14",1859,6573,14,119,18,95,48.8588,4499,4515,4505.5027,4511.7484930442,36.8951706749576,0.000304275064658451
"15",1860,6690,16,321,19,96,50.1077,4379,4394,4385.2538,4391.37568047976,38.2679832394015,0.000298953662182362
"16",1864,7009,18,324,20,97,51.3358,4058,4071,4063.0257,4069.06286263806,39.5808010810997,0.000142673705236125
"17",1868,7332,19,174,21,98,51.8666,3734,3746,3738.4949,3744.48231436261,40.161349356551,0.000136388434260775
"18",1870,7505,20,443,21,98,52.2904,3560,3571,3564.0711,3569.97161028264,40.672053436524,0.000133244503664224
"19",1875,7947,21,114,21,99,52.6544,3117,3127,3120.7071,3126.49593118733,41.1477325318315,0.000251667295834906
"20",1876,8059,23,110,22,99,53.2604,3003,3012,3006.1011,3011.70909441089,41.9345693082723,0.000124084874053853
"21",1877,8168,24,251,22,99,53.5256,2893,2902,2895.8359,2901.33538686722,42.3082768519389,0.000122428991185113
"22",1880,8418,25,267,22,100,53.7816,2642,2650,2644.5799,2649.98017930272,42.6634844164428,0.000118793062485151
"23",1884,8684,26,58,22,100,53.9884,2375,2383,2377.3731,2382.66538004169,42.9782836774671,0.000115154306771073
"24",1885,8741,27,191,23,100,54.1337,2317,2325,2319.2278,2324.39100586159,43.2526578575735,0.000114403386340236
"25",1889,8931,28,59,23,100,54.2723,2126,2133,2128.0892,2133.12508765934,43.5185760598229,0.000111969544283955
"26",1890,8989,29,125,23,100,54.3396,2067,2074,2069.0219,2073.88624261537,43.7574211037886,0.000111247079764156
"27",1892,9113,30,134,23,100,54.3657,1942,1949,1943.9958,1948.65552882712,43.9881348920426,0.000438933391857786
"28",1894,9243,34,59,23,101,54.904,1808,1814,1809.4575,1813.80019884629,44.843464872873,0.000324569944823109
"29",1895,9299,37,49,23,101,55.2139,1749,1754,1750.1476,1754.21149381583,45.4321699033328,0.000215076889988171
"30",1896,9346,39,106,24,101,55.3868,1700,1705,1700.9747,1704.83420346336,45.8094602558042,0.000106997646051787
"31",1898,9451,40,94,24,101.025,55.4232,1594,1599,1594.9383,1598.65179021668,45.9918735024835,0.000211617818220294
"32",1900,9543,42,62,24,102,55.5284,1500,1504,1500.8331,1504.31348701274,46.3301767064231,0.000419155401865242
"33",1901,9601,46,94,24,102,55.8361,1438,1441,1438.5254,1441.68294588856,46.9607178306032,0.00020831163420477
"34",1903,9693,48,38,24,102,55.9471,1344,1347,1344.4144,1347.3826265581,47.2610371610665,0.000103167234086454
"35",1904,9730,49,43,24,102,55.9792,1306,1309,1306.3823,1309.24362081926,47.4000428999045,0.000102774922918808
"36",1905,9772,50,54,24,102,55.9994,1263,1266,1263.3621,1266.10906340705,47.534600312116,0.000204666393778142
"37",1906,9824,52,47,24,102,56.074,1209,1211,1209.2875,1211.84993343091,47.7937302882533,0.000101791530944625
"38",1907,9870,53,83,24,102,56.1074,1162,1164,1162.2541,1164.72657737091,47.9170863482523,0.000101317122593718
"39",1910,9952,54,79,24,102,56.121,1079,1081,1079.2405,1081.60857062548,48.03509309368,0.00020096463022508
"40",1912,10029,56,45,24,102,56.1819,1000,1002,1000.1796,1002.39120555904,48.252458160124,9.97108385681524e-05
"41",1914,10073,57,18,24,102,56.1994,955,957,955.1621,957.291256291358,48.3524074278037,9.92752903802244e-05
"42",1915,10090,58,17,24,102,56.2091,937,939,937.1524,939.196220923911,48.4474427952505,9.91080277502478e-05
"43",1916,10106,59,21,24,102,56.2227,920,922,920.1388,922.103139038785,48.5405246803767,9.89511181476351e-05
"44",1917,10126,60,8,24,102,56.2288,899,901,899.1327,901.01189590213,48.631767817032,9.8755678451511e-05
"45",1918,10133,61,98,24,102,56.2351,891,892,891.1264,892.922915861057,48.7207478581047,9.86874568242376e-05
"46",1922,10230,62,19,24,102,56.2371,793,794,793.1244,794.834795569351,48.8088681498111,0.000293255131964809
"47",1923,10246,65,104,24,102,56.2788,774,775,774.0827,775.601706186486,49.0419575326761,9.75990630489947e-05
"48",1928,10349,66,122,24,102,56.2866,670,671,670.0749,671.526008186663,49.117655532499,0.000289883080490869
"49",1932,10468,69,39,24,102,56.3192,548,549,548.0423,549.33134415878,49.3123195603819,9.55292319449752e-05
"50",1934,10506,70,29,24,102,56.322,509,510,509.0395,510.278866957389,49.3647967617727,9.51837045497811e-05
"51",1936,10534,71,44,24,102,56.3241,480,481,480.0374,481.230296724479,49.4133669946831,0.000189861401177141
"52",1939,10576,73,13,24,102,56.3303,436,437,436.0312,437.138929666054,49.5047340531082,9.4553706505295e-05
"53",1940,10588,74,28,24,102,56.3298,423,424,423.0317,424.097596559996,49.5460671591658,0.000188893086513034
"54",1944,10614,76,8,24,102,56.3373,395,395,395.0242,396.017487455999,49.6261762631628,9.42151874882231e-05
"55",1945,10621,77,6,24,102,56.3381,387,387,387.0234,387.98017659417,49.6634871249921,9.41530929291027e-05
"56",1946,10626,78,24,24,102,56.3396,381,381,381.0219,381.943647060548,49.7000166586136,0.000188217579521927
"57",1949,10648,80,6,24,102,56.3448,357,357,357.0167,357.871758551785,49.7719051673771,9.39143501126972e-05
"58",1950,10653,81,15,24,102,56.3457,351,351,351.0158,351.838149258157,49.8055144610052,9.3870271285084e-05
"59",1952,10667,82,7,24,102,56.3476,336,336,336.0139,336.805122115637,49.8385416035245,9.37470704040499e-05
"60",1954,10673,83,10,24,102,56.347,329,329,329.0145,329.773547622142,49.8701160970199,9.3694368968425e-05
"61",1955,10682,84,3,24,102,56.3474,319,319,319.0141,319.742649697695,49.9010140214669,9.36154278225052e-05
"62",1956,10684,85,31,24,102,56.3494,316,316,316.0121,316.71271685275,49.9309468664114,9.35979034069637e-05
"63",1960,10714,86,4,24,102,56.3503,285,285,285.0112,285.683073206471,49.9605905126912,9.33358222885944e-05
"64",1961,10717,87,6,24,102,56.3506,281,281,281.0109,281.656408741919,49.9872549772428,9.33096948772977e-05
"65",1963,10722,88,9,24,102,56.3494,275,275,275.0121,275.630127468359,50.0135362508028,9.32661816825219e-05
"66",1964,10730,89,13,24,102,56.349,266,266,266.0125,266.604420498813,50.0392432203484,9.31966449207829e-05
"67",1967,10742,90,6,24,102,56.3507,253,253,253.0108,253.579573861302,50.0640898578599,0.00018618506795755
"68",1968,10746,92,5,24,102,56.3523,247,247,247.0092,247.53236113111,50.1113025880519,9.30578820026056e-05
"69",1969,10750,93,3,24,102,56.3501,242,242,242.0114,242.509326293856,50.1343374253059,0.000186046511627907
"70",1970,10751,95,9,24,102,56.3528,239,239,239.0087,239.464208279662,50.1794554395001,0.000186029206585434
"71",1972,10758,97,4,24,102,56.3543,230,230,230.0072,230.41966094299,50.224002776172,0.000185908161368284
"72",1973,10760,99,12,24,102,56.3564,226,226,226.0051,226.376824047481,50.266839671681,9.29368029739777e-05
"73",1976,10771,100,9,24,102,56.356,214,214,214.0055,214.355785309186,50.2878784099754,9.28418902608857e-05
"74",1979,10779,101,17,24,102,56.3558,205,205,205.0057,205.33588411289,50.3077796062719,9.27729845069116e-05
