# un-altered data
  year  S E  d X_lo X_hi X_mean U_lo U_hi  U_mean     U_old     X_old mu_estimate
1 1790 30 0 23    0    0 0.0000   26   32 27.2065 27.064611 0.0000000  0.03333333
2 1820 52 1  1    0    6 1.0929    3    4  3.1402  3.162457 0.9021537  0.01923077
3 1840 52 2  1    0    6 1.1295    2    3  2.1037  2.101641 0.9629702  0.01923077
4 1871 52 3  0    0    6 1.1485    1    2  1.0802  1.061224 1.0033863  0.01923077
5 1880 51 4  0    0    6 1.1567    1    2  1.0746  1.040816 1.0237945  0.01960784
6 1960 50 5  1    0    6 1.1631    1    2  1.0675  1.020408 1.0442027  0.02000000
7 2002 50 6  0    0    6 1.1852    0    1  0.0334  0.000000 1.0646108  0.02000000
8 2012 49 7  0    0    6 1.1935    0    0  0.0206  0.000000 1.0646108  0.02040816
9 2013 48 8 NA    0    6 1.2065    0    0  0.0000  0.000000 1.0646108          NA

# adding in one discovery/extinction at 1450-1500 and another at 1500-2020
  year  S E  d X_lo     X_hi   X_mean U_lo     U_hi   U_mean      U_old    X_old mu_estimate
1 1500  2 0 28    0    0.000   0.0000   54 2305.100 714.9458 110.153907  0.00000  0.50000000
2 1790 29 1 23    0 2251.100 659.7169   26   32.000  27.2383  27.076953 55.07695  0.03448276
3 1820 51 2  1    0 2251.100 660.8045    3    4.025   3.1435   3.143265 56.01064  0.01960784
4 1840 51 3  1    0 2251.075 660.8490    2    3.000   2.0982   2.081633 56.07227  0.01960784
5 1880 51 4  0    0 2251.075 660.8700    1    2.000   1.0774   1.040816 56.11309  0.01960784
6 1960 50 5  1    0 2251.100 660.8820    1    2.000   1.0646   1.020408 56.13350  0.02000000
7 2002 50 6  0    0 2251.100 660.9110    0    1.000   0.0353   0.000000 56.15391  0.02000000
8 2012 49 7  0    0 2251.100 660.9257    0    0.000   0.0204   0.000000 56.15391  0.02040816
9 2013 48 8 NA    0 2251.100 660.9458    0    0.000   0.0000   0.000000 56.15391          NA
