Redlist,Species_name,Date of description,Date of discovery if different,frstDetn,date of extinction,lastDetn
EX,Acalypha rubra,1816,1771,1771,1871,1840
VU,Asplenium compressum,1801,1771,1771,,2020
EN,Asplenium platybasis,1859,1807,1807,,2020
VU,Berula bracteata,1816,,1816,,2020
EN,Berula burchellii,1868,1806,1806,,2020
LC,Bulbostylis lichtensteiniana,1837,1773,1773,,2020
CR,Bulbostylis neglecta,1884,1806,1806,,2020
LC,Carex dianae,1855,1771,1771,,2020
CR,Ceterach haughtonii,1868,1807,1807,,2020
NT,Cheilanthes multifida,,1865,1865,,2020
VU,Chenopodium helenense,1930,1808,1808,,2020
CR,Commicarpus helenae,1822,,1822,,2020
CR,Commidendrum robustum,1816,1771,1771,,2020
CR,Commidendrum rotundifolium,1816,1771,1771,,2020
VU,Commidendrum rugosum,1789,1771,1771,,2020
CR,Commidendrum spurium,1787,1773,1773,,2020
VU,Dicksonia arborescens,1789,1771,1771,,2020
LC,Diplazium filamentosum,1816,1771,1771,,2020
CR,Dryopteris cognata,1849,1771,1771,,2020
EN,Dryopteris napoleonis,1833,1810,1810,,2020
CR,Elaphoglossum conforme,1806,,1806,,2020
CR,Elaphoglossum dimorphum,1830,1773,1773,,2020
NT,Elaphoglossum furcatum,1781,,1781,,2020
CR,Elaphoglossum nervosum,1829,1807,1807,,2020
CR,Eragrostis episcopulus,2012,1983,1983,,2020
EN,Eragrostis saxatilis,1884,1806,1806,,2020
CR,Euphorbia heleniana,1916,1771,1771,,2020
CR,Frankenia portulacifolia,1816,1808,1808,,2020
EN,Grammitis ebenina,1915,1771,1771,,2020
EX,Heliotropium pannifolium,1884,1808,1808,1820,
CR,Huperzia saururus,1816,1771,1771,,2020
LC,Hydrodea cryptantha,1868,1806,1806,,2020
EN,Hymenophyllum capillaceum,1816,1807,1807,,2020
CR,Hypertelis acida,1868,1806,1806,,2020
EW,Lachanodes arborea,1816,1771,1771,2012,
VU,Melanodendron integrifolium,1816,1808,1808,,2020
CR,Mellissia begoniifolia,1816,1771,1771,,2020
EX,Nesiota elliptica,1816,1702,1702,2002,
CR,Nesohedyotis arborea,1816,1771,1771,,2020
LC,Osteospermum sanctae-helenae,1939,1808,1808,,2020
VU,Panicum joshuae,2012,1806,1806,,2020
CR,Pelargonium cotyledonis,1771,1760,1760,,2020
EN,Petrobium arboreum,1775,1771,1771,,2020
CR,Phylica polifolia,1794,1771,1771,,2020
CR,Pladaroxylon leucadendron,1787,1771,1771,,2020
CR,Plantago robusta,1816,1810,1810,,2020
LC,Pseudophegopteris dianae,1863,1809,1809,,2020
LC,Pteris paleacea,1816,1771,1771,,2020
VU,Trimeris scaevolifolia,1816,1771,1771,,2020
CR,Trochetiopsis ebenus,1995,1800,1800,,2020
EW,Trochetiopsis erythoxylon,1787,1771,1771,1960,
EX,Trochetiopsis melanoxylon,1807,1700,1700,1790,
VU,Wahlenbergia angustifolia,1816,1771,1771,,2020
EX,Wahlenbergia burchellii,1839,1808,1808,1880,
CR,Wahlenbergia linifolia,1816,1771,1771,,2020
EX,Wahlenbergia roxburghii,1830,1808,1808,1840,
