"","year","S","E","d","X_lo","X_hi","X_mean","U_lo","U_hi","U_mean","U_old","X_old","mu_estimate"
"1",1784,1103,0,533,0,0,0,9882,9959,9914.1551,9907.67605720651,0,0.000906618313689937
"2",1790,1635,1,334,0,45,13.0894,9343,9402,9368.1126,9365.69357664694,8.98248055957083,0.000611620795107034
"3",1812,1968,2,503,1,58,21.2223,9005,9054,9025.9437,9025.96532369486,14.7107335116489,0.000508130081300813
"4",1820,2470,3,746,4,68,27.6914,8499,8539,8516.4663,8518.37895920111,19.297098005396,0.000404858299595142
"5",1828,3215,4,196,6,74,32.344,7750,7786,7765.8117,7768.93022278039,22.7458344261249,0.00031104199066874
"6",1830,3410,5,354,8,77,35.4658,7553,7584,7566.6893,7570.51375925853,25.1622979479853,0.000293255131964809
"7",1834,3763,6,92,10,81,38.3884,7198,7225,7209.7667,7214.29366724701,27.3823899594981,0.000265745415891576
"8",1835,3854,7,1222,12,84,40.8009,7104,7129.025,7115.3542,7120.37650177605,29.2995554304644,0.000259470679813181
"9",1844,5075,8,868,13,86,43.1782,5881,5904,5890.9769,5896.52897284461,31.1470843619054,0.000197044334975369
"10",1852,5942,9,136,15,88,44.4537,5013,5034,5021.7014,5027.36709521449,32.3089619920229,0.000336587007741501
"11",1854,6076,11,118,16,89,46.1127,4876,4895,4884.0424,4889.67494876709,34.0011084394191,0.000164581961816985
"12",1855,6193,12,80,16,90,46.9187,4758,4776,4765.2364,4770.87019647138,34.805860735135,0.000161472630389149
"13",1856,6272,13,302,17,91,47.6499,4677,4694,4684.5052,4690.09983151151,35.5762256950047,0.000159438775510204
"14",1859,6573,14,119,18,92,48.3629,4375,4391,4381.7922,4387.35204773735,36.324009469161,0.000304275064658451
"15",1860,6690,16,321,19,93.0249999999996,49.5793,4256,4270,4261.5758,4267.01708590935,37.6589712971654,0.000298953662182362
"16",1864,7009,18,324,20,95,50.7629,3935,3947,3939.3922,3944.74144552492,38.9346116815918,0.000142673705236125
"17",1868,7332,19,174,20,95,51.2672,3611,3622,3614.8879,3620.17863464669,39.4974225598235,0.000136388434260775
"18",1870,7505,20,443,20,96,51.6677,3437,3447,3440.4874,3445.68488415096,39.9911730555473,0.000133244503664224
"19",1875,7947,21,114,20,96,51.992,2994,3004,2997.1631,3002.22576557879,40.4502916277193,0.000251667295834906
"20",1876,8059,23,110,21,97,52.5768,2880,2888,2882.5783,2887.47020353888,41.2058536676286,0.000124084874053853
"21",1877,8168,24,251,21,97,52.8264,2770,2778,2772.3287,2777.11191216234,41.564145044169,0.000122428991185113
"22",1880,8418,25,267,21,97.0249999999996,53.0461,2519,2527,2521.109,2525.77191315253,41.9041440539831,0.000118793062485151
"23",1884,8684,26,58,21,98,53.2262,2252,2259,2253.9289,2258.47186897182,42.2041882346857,0.000115154306771073
"24",1885,8741,27,191,22,98,53.3749,2194,2201,2195.7802,2200.21179620939,42.4642609971193,0.000114403386340236
"25",1889,8931,28,59,22,98,53.5034,2003,2010,2004.6517,2008.96008452924,42.7159726772713,0.000111969544283955
"26",1890,8989,29,125,22,98,53.5667,1944,1950,1945.5884,1949.73514218409,42.9409150224208,0.000111247079764156
"27",1892,9113,30,134,22,98,53.5863,1819,1825,1820.5688,1824.51823984321,43.1578173633022,0.000438933391857786
"28",1894,9243,34,59,22,99,54.0588,1685,1690,1686.0963,1689.71739786369,43.958659342823,0.000324569944823109
"29",1895,9299,37,49,22,99,54.3197,1626,1630,1626.8354,1630.1689663811,44.5070908254143,0.000215076889988171
"30",1896,9346,39,106,22,99,54.4687,1577,1581,1577.6864,1580.81835470965,44.8577024968586,0.000106997646051787
"31",1898,9451,40,94,22,99,54.4874,1471,1475,1471.6677,1474.64921086686,45.026846339648,0.000211617818220294
"32",1900,9543,42,62,22,99,54.5591,1377,1381,1377.596,1380.33714881822,45.3389083882921,0.000419155401865242
"33",1901,9601,46,94,23,99,54.7992,1315,1318,1315.3559,1317.7585730459,45.9174841606145,0.00020831163420477
"34",1903,9693,48,38,23,100,54.8936,1221,1223,1221.2615,1223.48406860406,46.191988602453,0.000103167234086454
"35",1904,9730,49,43,23,100,54.9112,1183,1185,1183.2439,1185.35784513675,46.3182120697597,0.000102774922918808
"36",1905,9772,50,54,23,100,54.9292,1140,1142,1140.2259,1142.23602007559,46.4400371309248,0.000204666393778142
"37",1906,9824,52,47,23,100,54.9855,1086,1088,1086.1696,1088.00224274851,46.6738144579972,0.000101791530944625
"38",1907,9870,53,83,23,100,54.9983,1039,1041,1039.1568,1040.89149333455,46.7845638719577,0.000101317122593718
"39",1910,9952,54,79,23,100,55.0115,956,958,956.1436,957.786033203516,46.8900240029948,0.00020096463022508
"40",1912,10029,56,45,23,100,55.0541,877,878,877.101,878.593552087518,47.0825051189923,9.97108385681524e-05
"41",1914,10073,57,18,23,100,55.0615,832,833,832.0936,833.505946787679,47.1701104188315,9.92752903802244e-05
"42",1915,10090,58,17,23,100,55.0705,814,815,814.0846,815.423200242778,47.2528569637325,9.91080277502478e-05
"43",1916,10106,59,21,23,100,55.078,797,798,797.0771,798.34238525762,47.3336719488904,9.89511181476351e-05
